,时间,弹幕
110,2023-11-14 23:53:36,老九他没毛病
111,2023-11-14 23:26:19,决策太叼了 残血的都不贪
112,2023-11-14 23:25:18,哈哈哈哈哈
113,2023-11-14 23:19:46,shy哥还玩过武器啊
114,2023-11-14 23:14:48,3333333333333333333333333333333+33
115,2023-11-14 23:14:39,33
116,2023-11-14 23:14:33,3
117,2023-11-14 23:09:15,泉水吓出回城
118,2023-11-14 23:02:29,最恐怖的是AD还叫了闪现
119,2023-11-14 22:51:02,经典我打一下，他打我一梭子
120,2023-11-14 22:49:52,高潮了
121,2023-11-14 22:47:24,bin还差点，达不到超级上单的标准
122,2023-11-14 22:46:08,ts高光姿态站一般
123,2023-11-14 22:45:28,老子训练赛一枪一个
124,2023-11-14 22:30:55,注意奥，这里是个AD凯南，要是AP的直接全部融化
125,2023-11-14 22:27:56,我记得这把bp选人是RNG先亮薇恩没选。shy哥：为什么不选，这不是有手就行？
126,2023-11-14 22:26:31,这里应该是要W出去，不然有塔伤
127,2023-11-14 22:22:10,这个回头，把泰坦钩子扭了。。。。。
128,2023-11-14 22:18:47,逐渐离谱
129,2023-11-14 22:15:44,这就是队友，你要上我们就陪你上
130,2023-11-14 22:02:17,为什么一个杰斯追着4个人跑
131,2023-11-14 21:52:25,杰斯 闪现高能
132,2023-11-14 21:50:43,全部集锦里觉得这个最牛逼南波万，仙人指路也比不上这个
133,2023-11-14 21:48:45,他们四个被我包围了
134,2023-11-14 21:47:22,吸血鬼有大招  瑞兹大招约等于没有
135,2023-11-14 21:46:10,离谱
136,2023-11-14 21:43:57,这把名场面，RNG请神请到对面去了，下一把只能ban掉
137,2023-11-14 21:43:37,shysaise
138,2023-11-14 21:42:48,这是齐心协力的结果，宝蓝开的好，宁圈住，凯南进来正好全部大中，可惜是AD的，要是AP直接天雷
139,2023-11-14 21:39:42,冥场面
140,2023-11-14 21:38:49,哈哈哈哈哈哈
141,2023-11-14 21:38:43,标准背景板G2
142,2023-11-14 21:15:06,这个是什么抽象dn
143,2023-11-14 21:07:24,好杀
144,2023-11-14 21:07:15,给TheShy一个好打野吧求求了
145,2023-11-14 21:06:29,晴天英雄池硬上，也拿不出啥新英雄
146,2023-11-14 20:53:37,看到shy哥的兰博爆锤剑魔 。369：我上我也行。
147,2023-11-14 20:50:11,这个在感叹的是小虎哈哈哈哈
148,2023-11-14 20:49:38,玩啥都很6啊，就离谱
149,2023-11-14 20:42:15,牛头还是missing呢
150,2023-11-14 20:39:32,这团战~太顶了
151,2023-11-14 20:36:08,太夸张了
152,2023-11-14 20:07:25,讲道理，这波主要是宝蓝的功劳
153,2023-11-14 20:05:51,冷知识，这个小炮就是ELK
154,2023-11-14 20:04:55,要没中杰斯那个EQ，3个都杀完了
155,2023-11-14 19:59:35,"用一个坦克单杀HUANFENG,当之无愧的世界第一"
156,2023-11-14 19:58:13,很多人都知道以为THESHY的瑞文，但是实际豹女才是THESHY的成名英雄
157,2023-11-14 19:55:52,太夸张了
158,2023-11-14 19:49:48,幽默？你仔细看看宝蓝这个E挡下了纳尔的回旋镖回来的路径
159,2023-11-14 19:48:53,幻锋说话
160,2023-11-14 19:48:13,那可以让shy不死不是更好，张口就来
161,2023-11-14 19:45:38,中下捡捡人头
162,2023-11-14 19:44:52,别吃别吃
163,2023-11-14 19:42:44,晴天没被ts打红温之前大杀四方
164,2023-11-14 19:36:45,太强了，英雄海简直，上单英雄都玩腻了开始刷AD英雄了了
165,2023-11-14 19:36:31,这种VN才配叫神
